Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus caudifasciatus,taylori,232795,MM,Smithsonian National Museum of Natural History,1912,5,10,Puerto Rico,Yabucoa,null,"Yabucoa, Mount Santa Helena",null,19.625,9.57,7.66,22.65,20.77,107.68,89.48,Adult,Female
Tyrannus vociferans,vociferans,233834,MM,Smithsonian National Museum of Natural History,null,null,null,United States of America,California,San Diego,Dulzura,null,15.15,8.725,null,20.89,null,null,null,Adult,Unknown
Tyrannus verticalis,null,237802,MM,Smithsonian National Museum of Natural History,1915,4,25,United States of America,California,Riverside,Elsinore Lake,null,12.065,7.78,6.655,19.015,33.37,115.02,87.98,Adult,Female
Tyrannus caudifasciatus,taylori,238200,MM,Smithsonian National Museum of Natural History,1912,5,11,Puerto Rico,null,null,"Maunabo, La Pica",null,21.6,10.66,7.705,24.295,27.495,115.555,89.86,Adult,Male
Tyrannus caudifasciatus,taylori,238201,MM,Smithsonian National Museum of Natural History,1912,5,21,Puerto Rico,null,null,"Yauco, Quebrada",null,20.685,10.115,7.975,23.685,null,null,null,Adult,Female
Tyrannus caudifasciatus,taylori,238861,MM,Smithsonian National Museum of Natural History,1912,6,21,Puerto Rico,null,null,Lares,null,19,9.13,7.86,23.24,22.2,107.56,94.12,HatchYear,Female
Tyrannus caudifasciatus,taylori,238862,MM,Smithsonian National Museum of Natural History,1912,8,6,Puerto Rico,null,null,"Utuado, Rio Viri",null,21.095,10.63,7.75,23.615,23.65,109.535,90.94,HatchYear,Male
Tyrannus caudifasciatus,taylori,238863,MM,Smithsonian National Museum of Natural History,1912,7,23,Puerto Rico,null,null,"Bayamon, Bayamon River",null,19.245,10.17,7.78,23.975,21.285,104.57,91.22,HatchYear,Female
Tyrannus caudifasciatus,taylori,238864,MM,Smithsonian National Museum of Natural History,1912,6,28,Puerto Rico,null,null,"Lares, La Sierra",null,19.995,10.285,8.455,23.525,21.72,108.66,88.94,Adult,Female
Tyrannus caudifasciatus,taylori,238865,MM,Smithsonian National Museum of Natural History,1912,7,27,Puerto Rico,null,null,"Comerio, Rio La Plata",null,20.29,10.27,7.975,24.24,22.085,110.115,93.46,HatchYear,Male
Tyrannus caudifasciatus,taylori,238866,MM,Smithsonian National Museum of Natural History,1912,6,24,Puerto Rico,Lares,null,Palmar Llano,null,19.95,10.14,8.085,24.365,25.21,114.39,90.56,Adult,Male
Tyrannus caudifasciatus,taylori,238867,MM,Smithsonian National Museum of Natural History,1912,6,24,Puerto Rico,Lares,null,Palmar Llano,null,20.11,9.825,7.94,23.94,22.72,110.565,89.59,Adult,Male
Tyrannus caudifasciatus,taylori,238868,MM,Smithsonian National Museum of Natural History,1912,6,22,Puerto Rico,null,null,Palmar Llano,null,21.07,10.27,8.075,24.17,23.915,114.37,91.35,Adult,Male
Tyrannus caudifasciatus,taylori,238869,MM,Smithsonian National Museum of Natural History,1912,6,21,Puerto Rico,Lares,null,Lares,null,20.19,10.01,7.94,24.175,23.16,111.055,91.33,HatchYear,Male
Tyrannus caudifasciatus,taylori,238870,MM,Smithsonian National Museum of Natural History,1912,6,28,Puerto Rico,Lares,null,La Sierra,null,19.505,10.725,7.225,23.68,23.93,109.425,91.53,HatchYear,Male
Tyrannus caudifasciatus,gabbii,249520,MM,Smithsonian National Museum of Natural History,1916,9,28,Dominican Republic,null,null,"Santo Domingo, Constanza",null,18.155,7.84,6.095,20.835,null,null,null,Adult,Male
Tyrannus caudifasciatus,gabbii,249521,MM,Smithsonian National Museum of Natural History,1916,9,27,Dominican Republic,La Vega,null,"Santo Domingo, Constanza",4000 ft,18.055,9.025,6.63,21.325,null,null,null,Adult,Female
Tyrannus caudifasciatus,gabbii,249522,MM,Smithsonian National Museum of Natural History,1916,9,28,Dominican Republic,null,null,"Santo Domingo, Constanza",4000 ft,18.445,8.72,6.37,21.255,null,null,null,Adult,Female
Tyrannus caudifasciatus,gabbii,249523,MM,Smithsonian National Museum of Natural History,1916,9,29,Dominican Republic,La Vega,null,"Santo Domingo, Constanza",4000 ft,18.9,9.05,6.605,21.135,null,null,81.54,Adult,Male
Tyrannus caudifasciatus,gabbii,251550,MM,Smithsonian National Museum of Natural History,1918,1,29,Haiti,null,null,Moline,2000 ft,18.97,8.665,6.755,20.92,24.025,110.265,86.95,Adult,Male
Tyrannus caudifasciatus,gabbii,251551,MM,Smithsonian National Museum of Natural History,1917,11,20,Haiti,Grand'Anse / Ouest,null,Jeremie,null,18.03,9.8,6.345,22.295,22.57,103.3,81.75,Adult,Female
Tyrannus caudifasciatus,gabbii,251553,MM,Smithsonian National Museum of Natural History,1919,11,29,Haiti,Grand'Anse / Ouest,null,Jeremie,null,18.96,8.585,7.19,20.77,23.255,99.88,81.12,Adult,Male
Tyrannus caudifasciatus,gabbii,251554,MM,Smithsonian National Museum of Natural History,1917,11,29,Haiti,Grand'Anse / Ouest,null,Jeremie,null,17.495,9.03,6.87,21.31,20.105,104.515,77.41,Adult,Female
Tyrannus caudifasciatus,gabbii,251555,MM,Smithsonian National Museum of Natural History,1917,11,30,Haiti,Grand'Anse / Ouest,null,Jeremie,null,18.515,8.63,7.225,19.915,21.715,106,85.43,Adult,Male
Tyrannus caudifasciatus,gabbii,251557,MM,Smithsonian National Museum of Natural History,1917,12,9,Haiti,null,null,"Jeremie, La Grotte, 8 mi SW of Jeremie",null,18.56,9.39,6.825,21.02,22.4,106.97,80.11,Adult,Female
Tyrannus caudifasciatus,gabbii,251558,MM,Smithsonian National Museum of Natural History,1917,12,19,Haiti,null,null,Moron,null,18.355,8.84,6.33,21.76,19.55,102,77.82,Adult,Female
Tyrannus caudifasciatus,gabbii,251559,MM,Smithsonian National Museum of Natural History,1917,12,20,Haiti,null,null,Moron,null,18.385,8.725,6.865,21,24.675,108.78,82.24,Adult,Male
Tyrannus caudifasciatus,gabbii,251560,MM,Smithsonian National Museum of Natural History,1917,12,23,Haiti,null,null,Moron,null,17.675,9.11,6.525,20.025,24.235,101.185,80.15,Adult,Male
Tyrannus caudifasciatus,gabbii,252682,MM,Smithsonian National Museum of Natural History,1919,4,12,Dominican Republic,null,null,Constanza,null,18.99,8.66,6.51,21.375,19.37,106.8,77.75,Adult,Female
Tyrannus verticalis,null,255024,MM,Smithsonian National Museum of Natural History,1918,4,28,United States of America,California,Los Angeles,"Boquet Canyon, E End, Near Elizabeth Lake",null,14.69,8.635,7.155,19.655,36.485,121.335,87.73,Adult,Female
Tyrannus verticalis,null,255025,MM,Smithsonian National Museum of Natural History,1918,4,28,United States of America,California,Los Angeles,"Fairmont, Antelope Valley",null,13.66,8.25,6.615,19.04,36.865,117.87,86.72,Adult,Female
Tyrannus verticalis,null,255027,MM,Smithsonian National Museum of Natural History,1918,4,28,United States of America,California,Los Angeles,"Fairmont, Antelope Valley",null,13.595,7.99,7.225,19.755,38.405,121.935,85.85,Adult,Female
Tyrannus verticalis,null,255028,MM,Smithsonian National Museum of Natural History,1918,4,28,United States of America,California,Los Angeles,"Fairmont, Antelope Valley",null,14.615,7.895,6.34,19.11,37.535,121.435,85.04,Adult,Female
