Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus crassirostris,pompalis,40856,MM,Louisiana State University Museum of Natural Sciences,1956,3,19,Mexico,Puebla,null,5 mi. N Izucar de Matamoros,4300 feet,20.725,12.28,9.975,19.255,37.45,132.82,95.48,Adult,Male
Tyrannus tyrannus,null,42797,MM,Louisiana State University Museum of Natural Sciences,null,null,null,Peru,Loreto/Ucayali (from data base),null,Yarinacocha,null,14.4,13.13,5.955,18.37,41.41,119.39,80.07,Adult,Male
Tyrannus tyrannus,null,42798,MM,Louisiana State University Museum of Natural Sciences,null,null,null,Peru,Loreto/Ucayali (from data base),null,"Rio Curanja, Balta",null,12.965,8.265,6.245,18.03,null,null,null,HatchYear,Female
Tyrannus savana,monachus CA,45606,MM,Louisiana State University Museum of Natural Sciences,1960,12,15,Mexico,Veracruz,null,30 miles south of Alvarado,null,10.73,6.555,5.08,17.18,30.07,97.405,null,Adult,Female
Tyrannus savana,monachus CA,45607,MM,Louisiana State University Museum of Natural Sciences,1960,12,15,Mexico,Veracruz,null,30 miles south of Alvarado,null,11.255,6.655,5.16,17.59,30.14,100.445,null,Adult,Male
Tyrannus savana,monachus CA,45608,MM,Louisiana State University Museum of Natural Sciences,1957,7,12,Mexico,Chiapas,null,mesa 5 miles northeast of Ocozocoautla,null,10.725,6.51,4.8,17.44,26.555,89.06,110.59,HatchYear,Female
Tyrannus savana,unknown,45610,MM,Louisiana State University Museum of Natural Sciences,null,null,null,Colombia,Magdalena,null,Mamotoco,150m,11.52,6.69,5.56,18.365,null,null,null,Adult,Female
Tyrannus savana,unknown,45611,MM,Louisiana State University Museum of Natural Sciences,null,null,null,Colombia,Cauca,Popayan,Popayan,1760m,11.97,6.55,5.255,17.285,null,null,null,Adult,Male
Tyrannus tyrannus,null,45612,MM,Louisiana State University Museum of Natural Sciences,null,null,null,Colombia,Cauca,Popayan,Popayan,1760m,13.545,8.14,7.125,19.765,null,null,null,Adult,Male
Tyrannus vociferans,vociferans,45614,MM,Louisiana State University Museum of Natural Sciences,1958,6,26,Mexico,Sonora,null,"Guirocoba Ranch, 32 mi. SE Alamos",null,14.385,8.87,6.61,19.995,33.435,123.35,88.77,Adult,Male
Tyrannus vociferans,vociferans,45616,MM,Louisiana State University Museum of Natural Sciences,1937,6,20,Mexico,Sonora,null,"Tesia, Mayo River Valley, Rancho Santo Rosa",200 feet,14.33,8.985,6.915,19.55,null,null,null,Adult,Male
Tyrannus vociferans,vociferans,45617,MM,Louisiana State University Museum of Natural Sciences,1955,11,15,Mexico,Guanajuato,null,5 mi. NW Irapuato,5700 feet,13.525,8.105,6.605,18.545,35.475,124.33,null,Adult,Male
Tyrannus vociferans,vociferans,45618,MM,Louisiana State University Museum of Natural Sciences,1955,11,15,Mexico,Guanajuato,null,5 mi. NW Irapuato,5700 feet,15.005,8.385,6.655,19,41.185,134.7,94.88,Adult,Male
Tyrannus vociferans,vociferans,45619,MM,Louisiana State University Museum of Natural Sciences,1955,11,15,Mexico,Guanajuato,null,5 mi. NW Irapuato,5700 feet,14.33,8.675,7.035,18.255,36.91,121.395,87.72,Adult,Female
Tyrannus vociferans,vociferans,45620,MM,Louisiana State University Museum of Natural Sciences,1959,11,17,Mexico,Michoac‡n,null,Cumuato,null,15.125,8.685,7,20.085,37.965,128.945,86.89,Adult,Male
Tyrannus vociferans,vociferans,45621,MM,Louisiana State University Museum of Natural Sciences,1959,7,21,Mexico,Oaxaca,null,2 mi. W Tamazulapan,6000 feet,13.935,8.03,6.35,19.655,null,null,null,HatchYear,Female
Tyrannus vociferans,vociferans,45622,MM,Louisiana State University Museum of Natural Sciences,1937,7,26,Mexico,Oaxaca,null,2 mi. W Tamazulapan,6000 feet,14.9,8.025,6.575,19.435,null,null,null,Adult,Male
Tyrannus couchii,null,45628,MM,Louisiana State University Museum of Natural Sciences,1959,1,14,Mexico,Colima,null,2 km S Colima,null,17.4,9.5,7.1,20.775,31,110.925,88,Adult,Male
Tyrannus couchii,null,45629,MM,Louisiana State University Museum of Natural Sciences,1959,1,13,Mexico,Colima,null,18 km SE Colima,null,18.575,10.125,null,19.5,31.775,111.05,88.9,Adult,Male
Tyrannus couchii,null,45630,MM,Louisiana State University Museum of Natural Sciences,1959,1,13,Mexico,Colima,null,18 km SE Colima,null,17.8,10.075,6.95,19.55,27.7,106.875,85.25,Adult,Male
Tyrannus couchii,null,45631,MM,Louisiana State University Museum of Natural Sciences,1959,5,26,Mexico,Colima,null,21 mi. E Colima at Rio Naranjo,null,17.325,9.55,7.1,19.175,28.05,111.25,91.4,Adult,Male
Tyrannus couchii,null,45632,MM,Louisiana State University Museum of Natural Sciences,1958,12,15,Mexico,Colima,null,2 km E Coquimatlan,null,18.475,10.6,7.525,19.775,26.9,105.65,85.85,Adult,Male
Tyrannus melancholicus,satrapa,45633,MM,Louisiana State University Museum of Natural Sciences,1958,9,8,Mexico,Colima,null,Pueblo Juarez,null,18.075,10.405,7.655,20.12,null,null,null,Adult,Female
Tyrannus melancholicus,unknown,45634,MM,Louisiana State University Museum of Natural Sciences,1958,10,9,Mexico,Colima,null,"Arroyo Chino, 7 km W Pueblo Juarez",null,17.325,9.4,6.95,18.25,null,null,null,Adult,Male
Tyrannus melancholicus,unknown,45635,MM,Louisiana State University Museum of Natural Sciences,1958,10,8,Mexico,Colima,null,"La Esperanza, 6 km E Pueblo Juarez",null,17.85,9.945,7.71,20.065,null,null,95.21,Adult,Male
Tyrannus melancholicus,satrapa,45636,MM,Louisiana State University Museum of Natural Sciences,1959,5,16,Mexico,Colima,null,1.5 mi. NE Cuauhtemoc,null,17.495,10.24,7.32,19.265,29.285,109.47,87.06,Adult,Female
Tyrannus melancholicus,satrapa,45637,MM,Louisiana State University Museum of Natural Sciences,1959,6,4,Mexico,Morelos,null,Acatlipa,null,18.27,10,7.365,19.215,null,null,null,Adult,Male
Tyrannus melancholicus,unknown,45638,MM,Louisiana State University Museum of Natural Sciences,1955,11,1,Mexico,Jalisco,null,5 mi. NE Tecolotlan,null,17.8,10.1,7.2,19.275,31.5,108.625,null,HatchYear,Male
Tyrannus melancholicus,satrapa,45639,MM,Louisiana State University Museum of Natural Sciences,1959,3,20,Mexico,Chiapas,null,6 mi. NE Tonala,200 ft.,19.045,10.095,6.985,20.36,null,null,null,HatchYear,Male
Tyrannus couchii,null,45641,MM,Louisiana State University Museum of Natural Sciences,1959,2,12,Mexico,Oaxaca,null,"12 mi. NW Tapanatepec, Rancho Santa Efigenia",null,17.725,10.89,8.52,20.42,29.345,113.87,87.27,Adult,Female
Tyrannus melancholicus,satrapa,45642,MM,Louisiana State University Museum of Natural Sciences,1956,4,25,Mexico,Oaxaca,null,18 mi. N Matias Romero,null,16.205,9.17,7.235,20.27,null,null,null,Adult,Male
Tyrannus couchii,null,45643,MM,Louisiana State University Museum of Natural Sciences,1960,3,10,Mexico,Oaxaca,null,"18 miles north of Metias Romero, forest edge",null,16.845,null,null,20.47,34.96,119.99,null,Adult,Male
Tyrannus melancholicus,satrapa,45645,MM,Louisiana State University Museum of Natural Sciences,1957,7,14,Mexico,Oaxaca,null,"Rancho Las Animas, 2 mi. W Nejapa",3000 ft,17.595,9.68,6.935,19.805,null,null,null,Adult,Male
Tyrannus couchii,null,45646,MM,Louisiana State University Museum of Natural Sciences,1959,2,22,Mexico,Oaxaca,null,"Punta Paloma, near Mar Muerto, 7 mi. S Chahuites",null,17.585,10.425,6.84,19.84,28.295,109.215,86.5,Adult,Female
Tyrannus melancholicus,melancholicus,45647,MM,Louisiana State University Museum of Natural Sciences,1959,5,15,Colombia,Cauca,El Tambo,El Tambo,2000m,18.52,9.965,8.215,18.92,null,null,null,Adult,Female
Tyrannus melancholicus,melancholicus,45648,MM,Louisiana State University Museum of Natural Sciences,1959,9,16,Colombia,Cauca,Popayan,Popayan,1760m,16.555,9.03,7.355,18.055,27.355,114.025,91.17,Adult,Female
Tyrannus melancholicus,melancholicus,45649,MM,Louisiana State University Museum of Natural Sciences,1959,6,5,Colombia,Cauca,null,Tambo,1800m,17.365,9.33,7.525,16.785,null,null,null,Adult,Male
Tyrannus melancholicus,melancholicus,45650,MM,Louisiana State University Museum of Natural Sciences,1959,7,16,Colombia,Narino,Ricaurte,Piquale,2000m,15.895,9.64,6.59,16.71,24.925,103.855,87.55,HatchYear,Unknown
Tyrannus melancholicus,satrapa,45651,MM,Louisiana State University Museum of Natural Sciences,1959,10,28,Colombia,Magdalena,null,Bonda,100m,16.375,9.42,7.06,17.59,26.295,105.675,null,SecondYear,Female
Tyrannus crassirostris,pompalis,45652,MM,Louisiana State University Museum of Natural Sciences,1947,5,24,Mexico,Sonora,null,"Guirocoba Ranch, 32 mi. SE Alamos",1475 feet,21.06,12.64,9.89,20.13,40.7,131.49,98.6,Adult,Male
Tyrannus crassirostris,pompalis,45653,MM,Louisiana State University Museum of Natural Sciences,1949,5,21,Mexico,Sonora,null,"Guirocoba Ranch, 32 mi. SE Alamos",1475 feet,21.135,13.04,10.725,20.51,37.16,126.98,90.02,Adult,Female
Tyrannus crassirostris,pompalis,45654,MM,Louisiana State University Museum of Natural Sciences,1949,5,23,Mexico,Sonora,null,"Guirocoba Ranch, 32 mi. SE Alamos",1475 feet,20.835,12.955,10.695,20.365,40.87,129.925,96.66,Adult,Male
Tyrannus crassirostris,pompalis,45655,MM,Louisiana State University Museum of Natural Sciences,1950,6,11,Mexico,Sonora,null,"Guirocoba Ranch, 32 mi. SE Alamos",null,20.91,13.23,11.485,20.75,null,null,null,Adult,Female
Tyrannus crassirostris,crassirostris,45656,MM,Louisiana State University Museum of Natural Sciences,1957,8,2,Mexico,Puebla,null,4 mi. N Izucar de Matamoros Pueblo,4350 feet,18.21,11.685,10.26,19.545,null,null,null,Adult,Male
Tyrannus crassirostris,pompalis,45657,MM,Louisiana State University Museum of Natural Sciences,1957,2,22,Mexico,Sinaloa,null,"Rancho Batel, 70 mi. E Mazatlan, 6-8 mi. by highway E Santa Lucia",null,20.555,13.12,10.545,20.855,37.445,132.285,100.89,Adult,Female
Tyrannus crassirostris,pompalis,45658,MM,Louisiana State University Museum of Natural Sciences,1958,4,8,Mexico,Sinaloa,null,river near Elota,null,21.3,12.2,null,19.725,39.13,130.75,96.16,Adult,Male
Tyrannus crassirostris,pompalis,45659,MM,Louisiana State University Museum of Natural Sciences,1958,10,9,Mexico,Colima,null,"Arroyo Chino, 7 km W Pueblo Juarez",null,19.475,13.175,9.835,19.395,32.475,122.605,92.31,Adult,Male
Tyrannus crassirostris,pompalis,45660,MM,Louisiana State University Museum of Natural Sciences,1954,10,1,Mexico,Colima,null,"Agua Zarca, 6 km N Pueblo Juarez",null,19.265,12.765,10.27,21.22,null,null,null,Adult,Female
Tyrannus crassirostris,pompalis,45661,MM,Louisiana State University Museum of Natural Sciences,1958,10,4,Mexico,Colima,null,"Agua Zarca, 6 km N Pueblo Juarez",null,19.665,12.835,10.26,20.67,35.775,127.36,92.07,Adult,Male
Tyrannus crassirostris,pompalis,45662,MM,Louisiana State University Museum of Natural Sciences,1958,10,8,Mexico,Colima,null,"La Esperanza, 6 km E Pueblo Juarez",null,19.67,12.76,10.31,19.85,null,null,95.79,Adult,Female
Tyrannus crassirostris,pompalis,45663,MM,Louisiana State University Museum of Natural Sciences,1958,9,11,Mexico,Colima,null,Pueblo Juarez,null,19.625,12.53,10.215,19.925,null,null,96.89,Adult,Male
Tyrannus crassirostris,pompalis,45664,MM,Louisiana State University Museum of Natural Sciences,1955,11,5,Mexico,Jalisco,null,5 mi. NE Tecolotlan,3500 feet,20.05,12.015,10.155,19.38,37.775,131.28,100.03,Adult,Male
Tyrannus crassirostris,pompalis,45665,MM,Louisiana State University Museum of Natural Sciences,1955,10,27,Mexico,Jalisco,null,4 mi. SW La Huerta,1000 feet,19.685,12.395,9.89,19.54,null,null,95.98,Adult,Male
Tyrannus crassirostris,pompalis,45666,MM,Louisiana State University Museum of Natural Sciences,1959,3,20,Mexico,Chiapas,null,6 mi. NE Tonala,200 feet,20.58,13.235,11.225,20.405,35.94,127.645,94.08,Adult,Female
Tyrannus crassirostris,pompalis,45667,MM,Louisiana State University Museum of Natural Sciences,1959,3,23,Mexico,Chiapas,null,6 mi. NE Tonala,200 feet,21.925,13.815,10.675,20.17,null,null,null,Adult,Female
Tyrannus savana,monachus CA,48322,MM,Louisiana State University Museum of Natural Sciences,1965,6,8,Costa Rica,Puntarenas,null,2 miles west of Buenos Aires,null,10.42,6.42,4.99,17.1,null,null,null,Adult,Male
Tyrannus couchii,null,48676,MM,Louisiana State University Museum of Natural Sciences,1965,10,9,United States of America,Louisiana,Cameron,4.3 miles East town of Johnson's Bayou,null,16.9,10.285,7.745,19.895,28.475,115.75,95.81,Adult,Male
Tyrannus melancholicus,melancholicus,50353,MM,Louisiana State University Museum of Natural Sciences,1965,8,12,Ecuador,Napo,null,Limoncocha,null,18.235,9.985,null,19.58,35.45,114.235,87.76,Adult,Male
Tyrannus couchii,null,50574,MM,Louisiana State University Museum of Natural Sciences,1960,6,2,Mexico,San Luis Potosi,null,4 mi. E Tamazunchale,null,17.195,10.285,7.56,20.325,null,null,null,Adult,Female
Tyrannus melancholicus,satrapa,50575,MM,Louisiana State University Museum of Natural Sciences,1963,4,22,El Salvardor,Tecla/La Libertad (from data base),null,Santa Tecla,null,16.88,9.845,7.04,20.25,null,null,null,Adult,Male
Tyrannus tyrannus,null,50577,MM,Louisiana State University Museum of Natural Sciences,null,null,null,El Salvador,La Libertad,null,Lago de Chanmico,null,14.845,8.125,6.29,19.09,35.045,119.35,85.04,Adult,Male
Tyrannus forficatus,null,50579,MM,Louisiana State University Museum of Natural Sciences,1960,6,5,United States of America,Texas,Goliad County,Goliad,null,13.65,7.895,6.435,19.655,null,null,211,Adult,Male
Tyrannus melancholicus,melancholicus,50986,MM,Louisiana State University Museum of Natural Sciences,1965,10,23,Brazil,Amazonas,null,"Rio Negro, Tapurucuara",null,17.485,9.675,7.035,17.075,29.955,110.26,87.89,Adult,Male
Tyrannus melancholicus,melancholicus,50987,MM,Louisiana State University Museum of Natural Sciences,1965,10,20,Brazil,Amazonas,null,"Rio Negro, Tapurucuara",null,18.13,9.905,6.775,17.395,26.895,109.855,null,Adult,Female
Tyrannus melancholicus,satrapa,51074,MM,Louisiana State University Museum of Natural Sciences,1966,3,2,El Salvardor,San Salvador,null,12 km E San Salvador,null,17.065,10.03,7.355,20.01,27.205,109.97,94.2,Adult,Female
Tyrannus albogularis,null,51480,MM,Louisiana State University Museum of Natural Sciences,1966,1,12,Brazil,S‹o Paulo,null,Icem; Rio Grande,null,15.775,8.35,6.05,16.325,30.6,104.85,97.55,Adult,Male
Tyrannus melancholicus,melancholicus,52221,MM,Louisiana State University Museum of Natural Sciences,1966,6,20,Peru,Loreto/Ucayali (from data base),null,"Rio Caranja, Balta",null,17.375,9.675,8.155,17.955,28.055,110.245,91.54,Adult,Female
Tyrannus melancholicus,melancholicus,52222,MM,Louisiana State University Museum of Natural Sciences,1946,6,4,Peru,Lima,null,Canete,null,19.265,10.055,7.85,19.31,30.2,118.105,99.72,Adult,Male
Tyrannus melancholicus,melancholicus,52223,MM,Louisiana State University Museum of Natural Sciences,1966,6,21,Peru,Loreto/Ucayali (from data base),null,"Rio Caranja, Balta",null,16.21,9.575,7.81,19.475,28.42,107.58,91.12,Adult,Female
Tyrannus melancholicus,melancholicus,52224,MM,Louisiana State University Museum of Natural Sciences,1966,6,17,Peru,Loreto/Ucayali (from data base),null,"Rio Caranja, Balta",null,17.275,9.945,7.19,18.84,29.825,113.21,92.65,Adult,Male
Tyrannus melancholicus,despotes,55955,MM,Louisiana State University Museum of Natural Sciences,1961,1,10,Argentina,Misiones,null,"Arroyo Urugua-i, Km 10",null,17.655,9.32,7.665,18.98,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55956,MM,Louisiana State University Museum of Natural Sciences,1961,1,11,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,18.755,10.105,8.21,18.91,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55957,MM,Louisiana State University Museum of Natural Sciences,1961,1,14,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,16.41,9.26,8.2,19.325,30.465,108.465,82.01,HatchYear,Unknown
Tyrannus melancholicus,despotes,55958,MM,Louisiana State University Museum of Natural Sciences,1981,1,19,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,18.385,9.735,8.11,18.385,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55959,MM,Louisiana State University Museum of Natural Sciences,1961,1,23,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.83,8.735,null,18.535,30.675,106.535,null,HatchYear,Male
Tyrannus melancholicus,despotes,55960,MM,Louisiana State University Museum of Natural Sciences,1961,1,29,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,18.05,9.75,null,18.48,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55961,MM,Louisiana State University Museum of Natural Sciences,1961,1,30,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,18.715,10.13,8.08,18.44,null,null,null,Adult,Female
Tyrannus melancholicus,despotes,55962,MM,Louisiana State University Museum of Natural Sciences,1961,2,1,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.82,9.41,8.27,17.435,31.77,62.39,null,HatchYear,Male
Tyrannus melancholicus,despotes,55963,MM,Louisiana State University Museum of Natural Sciences,1961,2,1,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,18.77,9.13,null,17.535,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55964,MM,Louisiana State University Museum of Natural Sciences,1961,2,6,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,16.235,8.86,null,19.51,null,null,null,Adult,Female
Tyrannus melancholicus,despotes,55965,MM,Louisiana State University Museum of Natural Sciences,1961,2,15,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.305,8.915,8.205,18.065,null,null,null,Adult,Female
Tyrannus melancholicus,despotes,55966,MM,Louisiana State University Museum of Natural Sciences,1961,2,19,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.395,9.76,null,18.635,30.625,104.54,83.7,HatchYear,Unknown
Tyrannus melancholicus,despotes,55967,MM,Louisiana State University Museum of Natural Sciences,1961,2,15,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.605,9.835,7.945,18.225,28.39,107.155,null,SecondYear,Male
Tyrannus melancholicus,despotes,55968,MM,Louisiana State University Museum of Natural Sciences,1961,3,8,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,16.945,9.39,null,18.59,null,null,85.3,SecondYear,Female
Tyrannus melancholicus,despotes,55969,MM,Louisiana State University Museum of Natural Sciences,1961,3,8,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.185,10.225,null,18.775,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55970,MM,Louisiana State University Museum of Natural Sciences,1961,3,12,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.895,8.635,null,17.895,null,null,86.71,HatchYear,Unknown
Tyrannus melancholicus,despotes,55971,MM,Louisiana State University Museum of Natural Sciences,1961,3,12,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.655,10.2,8,19.595,null,null,null,Adult,Male
Tyrannus melancholicus,despotes,55972,MM,Louisiana State University Museum of Natural Sciences,1961,3,12,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,16.495,8.45,null,17.18,null,null,null,SecondYear,Male
Tyrannus melancholicus,despotes,55973,MM,Louisiana State University Museum of Natural Sciences,1916,10,30,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.155,9.705,8.125,19.105,33.66,114.635,null,Adult,Male
Tyrannus melancholicus,despotes,55975,MM,Louisiana State University Museum of Natural Sciences,1960,10,30,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.315,10.39,7.525,18.99,34.875,115.32,93.9,Adult,Male
Tyrannus melancholicus,despotes,55976,MM,Louisiana State University Museum of Natural Sciences,1960,10,31,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.855,9.455,7.61,17.88,32.515,112.825,92.78,Adult,Male
Tyrannus melancholicus,despotes,55977,MM,Louisiana State University Museum of Natural Sciences,1960,10,31,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,18.075,10.03,7.995,17.845,33.67,114.285,96.34,Adult,Male
Tyrannus melancholicus,despotes,55978,MM,Louisiana State University Museum of Natural Sciences,1968,10,31,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.43,9.875,7.37,18.48,34.93,115,null,Adult,Male
Tyrannus melancholicus,despotes,55979,MM,Louisiana State University Museum of Natural Sciences,1960,11,6,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.36,9.99,7.395,17.35,31.48,110.535,88.16,Adult,Male
Tyrannus melancholicus,despotes,55980,MM,Louisiana State University Museum of Natural Sciences,1960,11,6,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.45,9.31,7.45,17.86,35.53,115.02,91.3,Adult,Male
Tyrannus melancholicus,despotes,55981,MM,Louisiana State University Museum of Natural Sciences,1960,11,6,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.56,10.395,7.98,17.345,37.53,115.865,93.61,Adult,Male
Tyrannus melancholicus,despotes,55982,MM,Louisiana State University Museum of Natural Sciences,1960,11,13,Argentina,Misiones,null,"Arroyo Uragua-i, Km 10",null,17.72,10.49,8.11,18.015,31.68,115.85,94.35,Adult,Male
Tyrannus melancholicus,melancholicus,55983,MM,Louisiana State University Museum of Natural Sciences,1961,11,21,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.655,9.39,7.47,17.64,32.6,112.42,null,Adult,Female
Tyrannus melancholicus,melancholicus,55984,MM,Louisiana State University Museum of Natural Sciences,1961,11,22,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,19.415,9.975,7.95,16.96,34.09,115.62,null,Adult,Male
Tyrannus melancholicus,melancholicus,55985,MM,Louisiana State University Museum of Natural Sciences,1961,11,23,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.18,10.09,8.46,19.265,31.815,115.525,null,Adult,Female
Tyrannus melancholicus,melancholicus,55986,MM,Louisiana State University Museum of Natural Sciences,1961,11,23,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.045,9.31,8.09,16.995,30.15,113.04,null,Adult,Female
Tyrannus melancholicus,melancholicus,55987,MM,Louisiana State University Museum of Natural Sciences,1961,11,23,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.16,9.675,7.8,17.905,32.56,116.3,null,Adult,Male
Tyrannus melancholicus,melancholicus,55988,MM,Louisiana State University Museum of Natural Sciences,1961,11,24,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.17,9.44,7.945,17.995,28.445,107.48,null,Adult,Female
Tyrannus melancholicus,melancholicus,55989,MM,Louisiana State University Museum of Natural Sciences,1961,11,24,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,16.33,9.3,7.27,17.885,29.015,108.07,null,Adult,Female
Tyrannus melancholicus,melancholicus,55990,MM,Louisiana State University Museum of Natural Sciences,1961,11,24,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.245,9.55,7.54,18.325,31.63,112.62,93.93,Adult,Male
Tyrannus melancholicus,melancholicus,55991,MM,Louisiana State University Museum of Natural Sciences,1961,11,25,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.67,9.97,7.655,18.66,31.205,110.915,null,Adult,Female
Tyrannus melancholicus,melancholicus,55992,MM,Louisiana State University Museum of Natural Sciences,1961,11,25,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.545,9.305,7.62,17.77,31.13,114.35,96.3,Adult,Male
Tyrannus melancholicus,melancholicus,55993,MM,Louisiana State University Museum of Natural Sciences,1961,11,25,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.79,10.015,7.85,19.68,30.44,113.705,null,Adult,Female
Tyrannus melancholicus,melancholicus,55994,MM,Louisiana State University Museum of Natural Sciences,1961,11,25,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,19.535,10.375,8.47,17.87,32.405,117.28,96.85,Adult,Male
Tyrannus melancholicus,melancholicus,55995,MM,Louisiana State University Museum of Natural Sciences,1961,11,25,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.845,10.445,8.15,18.445,30.805,117.71,null,Adult,Male
Tyrannus melancholicus,melancholicus,55996,MM,Louisiana State University Museum of Natural Sciences,1961,11,26,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,19.615,10.115,7.49,16.77,null,null,null,Adult,Male
Tyrannus melancholicus,melancholicus,55997,MM,Louisiana State University Museum of Natural Sciences,1961,11,26,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.57,9.655,7.545,17.93,34.22,118.61,100.02,Adult,Male
Tyrannus melancholicus,melancholicus,55998,MM,Louisiana State University Museum of Natural Sciences,1961,11,26,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.11,10.38,7.665,18.29,30.105,112.405,91.7,Adult,Female
Tyrannus melancholicus,melancholicus,55999,MM,Louisiana State University Museum of Natural Sciences,1961,11,26,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.84,10.08,8.07,18.49,31.675,112.545,92.44,Adult,Male
Tyrannus melancholicus,melancholicus,56000,MM,Louisiana State University Museum of Natural Sciences,1961,11,26,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.875,9.59,7.87,19.27,31.185,113.38,null,Adult,Female
Tyrannus melancholicus,melancholicus,56001,MM,Louisiana State University Museum of Natural Sciences,1961,11,26,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,16.925,9.42,6.79,18.295,31.02,107.96,87.18,Adult,Female
Tyrannus melancholicus,melancholicus,56002,MM,Louisiana State University Museum of Natural Sciences,1961,11,27,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.305,9.89,8.21,17.21,28.91,109.13,null,Adult,Female
Tyrannus melancholicus,melancholicus,56003,MM,Louisiana State University Museum of Natural Sciences,1961,11,27,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.15,10.045,7.485,18.465,34.175,114.2,null,Adult,Male
Tyrannus melancholicus,melancholicus,56004,MM,Louisiana State University Museum of Natural Sciences,1961,11,27,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,19.225,9.275,7.61,17.445,32.36,112.205,null,Adult,Male
Tyrannus melancholicus,melancholicus,56005,MM,Louisiana State University Museum of Natural Sciences,1961,11,28,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,17.39,9.745,8.355,19.045,null,null,null,Adult,Female
Tyrannus melancholicus,melancholicus,56006,MM,Louisiana State University Museum of Natural Sciences,1961,11,29,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.485,9.98,7.18,17.34,28.83,114.99,null,Adult,Male
Tyrannus melancholicus,melancholicus,56007,MM,Louisiana State University Museum of Natural Sciences,1961,11,29,Argentina,Corrientes,null,"San Luis del Palmar, Estancia Garabata",null,18.32,9.755,7.955,17.845,29.66,109.305,null,Adult,Female
